"week","travel","Alpha","Beta","Delta","Eta","Gamma","Kappa","Theta","Zeta","Lambda","VUI.21FEB.01","VOC.21FEB.02","VUI.21FEB.04","VUI.21APR.03","VUI.21MAY.01","VUI.21MAY.02","VUI.21OCT.01","Mu","Other"
2021-01-31,"None",0.9502556455049,0.00127822752449936,0.000106518960374947,0.0015977844056242,0,0,0,0.00031955688112484,0,0.000213037920749893,0.00031955688112484,0,0,0,0,0.000106518960374947,0,0.0458031529612271
2021-01-31,"Travel",0.615384615384615,0.0769230769230769,0,0.0769230769230769,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0.192307692307692
2021-02-07,"None",0.963683927060091,0.00138493498499654,0.000230822497499423,0.00153881664999615,7.69408324998076e-05,0,0,0,0,0.000230822497499423,0.000384704162499038,0.000230822497499423,0,0,0,0,0,0.0322382088174194
2021-02-07,"Travel",0.473684210526316,0.192982456140351,0,0.087719298245614,0,0,0,0,0,0,0,0.0350877192982456,0,0,0,0,0,0.210526315789474
2021-02-14,"None",0.974158875064419,0.000662592947066186,0.000220864315688729,0.00117794301700655,0.000294485754251638,0,0,0.000662592947066186,0,0.000147242877125819,0.000294485754251638,0.000294485754251638,0,0,0,0,0,0.0220864315688729
2021-02-14,"Travel",0.6,0.0923076923076923,0,0.0615384615384615,0,0,0,0.0153846153846154,0,0,0,0.0307692307692308,0,0,0,0,0,0.2
2021-02-21,"None",0.982406049849525,0.00100316382436916,7.71664480283973e-05,0.00123466316845436,0.000154332896056795,0,0,7.71664480283973e-05,0,7.71664480283973e-05,0.000231499344085192,0.000154332896056795,0,0,0,0,0,0.0145844586773671
2021-02-21,"Travel",0.664160401002506,0.0401002506265664,0,0.0726817042606516,0.0050125313283208,0.012531328320802,0,0.0025062656641604,0.0025062656641604,0,0.0025062656641604,0.0200501253132832,0,0,0.0025062656641604,0,0,0.175438596491228
2021-02-28,"None",0.983292248698987,0.00191728293618187,0,0.00136948781155848,9.12991874372318e-05,0,0,0.000273897562311695,0,0,9.12991874372318e-05,0.000912991874372318,0,0,0.000182598374874464,0,0,0.0118688943668401
2021-02-28,"Travel",0.695575221238938,0.0336283185840708,0,0.0743362831858407,0.00353982300884956,0.00884955752212389,0.00707964601769911,0,0.00176991150442478,0,0,0.0283185840707965,0,0,0.00353982300884956,0,0,0.143362831858407
