"week","travel","Alpha","Beta","Delta","Eta","Gamma","Kappa","Theta","Zeta","Lambda","VUI.21FEB.01","VOC.21FEB.02","VUI.21FEB.04","VUI.21APR.03","VUI.21MAY.01","VUI.21MAY.02","VUI.21OCT.01","Mu","Other"
2021-03-07,"None",0.987233327733916,0.000839912649084495,0.000419956324542248,0.00109188644380984,8.39912649084495e-05,8.39912649084495e-05,0,0.000167982529816899,0,0,0,0.000419956324542248,0,0,0.000251973794725349,0,0,0.00940702166974635
2021-03-07,"Travel",0.762135922330097,0.037621359223301,0,0.029126213592233,0.0109223300970874,0.0133495145631068,0,0,0,0,0,0.0169902912621359,0,0,0.00121359223300971,0,0,0.128640776699029
2021-03-14,"None",0.988350498058416,0.00295458382576397,8.44166807361135e-05,0.00118183353030559,0.000168833361472227,0.000422083403680567,0,0,0,0,0,0.000422083403680567,0,0,0,8.44166807361135e-05,0,0.00633125105520851
2021-03-14,"Travel",0.793875147232038,0.0412249705535925,0.00353356890459364,0.0294464075382803,0.00706713780918728,0.0129564193168433,0,0,0,0,0,0.0117785630153121,0,0,0.00588928150765607,0,0,0.0942285041224971
2021-03-21,"None",0.98893126916461,0.00231845037768305,0.000149577443721487,0.000972253384189664,0,0.000523521053025204,0,0,0,0,0,0.0017201406027971,0,7.47887218607434e-05,0,0,0,0.00530999925211278
2021-03-21,"Travel",0.797364085667216,0.0543657331136738,0.00658978583196046,0.0247116968698517,0.00823723228995058,0.0247116968698517,0,0,0,0,0,0.00823723228995058,0.00164744645799012,0,0.00329489291598023,0,0,0.070840197693575
2021-03-28,"None",0.98924158500213,0.00287601193012356,0.000852151682999574,0.000852151682999574,0.000426075841499787,0.000745632722624627,0,0,0,0,0,0.00117170856412441,0.000106518960374947,0.000213037920749893,0.00031955688112484,0,0,0.0031955688112484
2021-03-28,"Travel",0.773529411764706,0.0441176470588235,0.0235294117647059,0.0279411764705882,0.00882352941176471,0.0485294117647059,0,0,0.00147058823529412,0,0,0.00294117647058824,0.00294117647058824,0,0.0102941176470588,0,0,0.0558823529411765
2021-04-04,"None",0.980009751340809,0.00520071509832602,0.00455062571103527,0.000487567040468064,0.00146270112140419,0.00162522346822688,0,0,0,0,0,0.00113765642775882,0,0,0.00162522346822688,0,0,0.00390053632374451
2021-04-04,"Travel",0.755765199161426,0.0513626834381551,0.0628930817610063,0.00838574423480084,0.00628930817610063,0.0534591194968553,0,0,0,0,0,0.00943396226415094,0,0,0.00838574423480084,0,0,0.0440251572327044
2021-04-11,"None",0.96212402525065,0.00594132937244708,0.0161529892313405,0.0012996658002228,0.00167099888600074,0.00501299665800223,0,0.000185666542888971,0,0,0,0.000556999628666914,0.000371333085777943,0,0.00222799851466766,0,0,0.00445599702933531
2021-04-11,"Travel",0.659973226238286,0.0227576974564926,0.147255689424364,0.0120481927710843,0.00669344042838019,0.0682730923694779,0,0,0,0,0,0.0133868808567604,0.00133868808567604,0.00267737617135207,0.0200803212851406,0,0,0.0455153949129853
2021-04-18,"None",0.919854280510018,0.00710382513661202,0.0500910746812386,0.00200364298724954,0.00236794171220401,0.00910746812386157,0,0,0,0,0,0.00327868852459016,0.000546448087431694,0.000182149362477231,0.00127504553734062,0,0,0.00418943533697632
2021-04-18,"Travel",0.561889250814332,0.0228013029315961,0.255700325732899,0.011400651465798,0.0130293159609121,0.0700325732899023,0.00162866449511401,0,0,0,0,0.0162866449511401,0.00488599348534202,0,0.0130293159609121,0,0,0.0293159609120521
2021-04-25,"None",0.863357501394311,0.00799405093883621,0.107826733593605,0.00167317345231456,0.00297453058189254,0.00594906116378509,0,0,0,0,0,0.00223089793641941,0,0.0035322550659974,0.000743632645473136,0,0,0.00371816322736568
2021-04-25,"Travel",0.513761467889908,0.0160550458715596,0.302752293577982,0.018348623853211,0.0252293577981651,0.0573394495412844,0,0,0,0,0,0.0137614678899083,0,0,0.0160550458715596,0,0,0.036697247706422
2021-05-02,"None",0.728262810212462,0.00392787002321014,0.248527048741296,0.00267809319764328,0.00142831637207641,0.00160685591858597,0,0,0,0,0,0.00267809319764328,0,0.00642742367434387,0.00160685591858597,0,0,0.00285663274415283
2021-05-02,"Travel",0.444444444444444,0.03003003003003,0.396396396396396,0.00900900900900901,0.015015015015015,0.039039039039039,0,0,0.00600600600600601,0,0,0.003003003003003,0.003003003003003,0,0.012012012012012,0,0.003003003003003,0.039039039039039
2021-05-09,"None",0.56020942408377,0.00261780104712042,0.418499127399651,0.00174520069808028,0.00191972076788831,0.00104712041884817,0,0,0,0,0,0.00157068062827225,0,0.00732984293193717,0.000698080279232112,0,0,0.0043630017452007
2021-05-09,"Travel",0.369230769230769,0.0307692307692308,0.480769230769231,0.0192307692307692,0.0115384615384615,0.0384615384615385,0,0,0,0,0,0.0192307692307692,0,0,0.00384615384615385,0,0,0.0269230769230769
2021-05-16,"None",0.361247947454844,0.000957854406130268,0.625752599890531,0.000136836343732895,0.000957854406130268,0.00191570881226054,0,0,0,0,0,0.00205254515599343,0,0.00410509031198686,0.000273672687465791,0,0.000136836343732895,0.00246305418719212
2021-05-16,"Travel",0.361809045226131,0.0201005025125628,0.492462311557789,0.0201005025125628,0.0050251256281407,0.0150753768844221,0,0,0,0,0,0.0251256281407035,0.0050251256281407,0,0.0201005025125628,0,0,0.0351758793969849
2021-05-23,"None",0.191576086956522,0.000634057971014493,0.800996376811594,0.000271739130434783,0.000996376811594203,0.00126811594202899,0,0,0,0,0,0.00036231884057971,0,0.00190217391304348,0.000452898550724638,0,9.05797101449275e-05,0.00144927536231884
2021-05-23,"Travel",0.270718232044199,0.0386740331491713,0.552486187845304,0.0165745856353591,0.0165745856353591,0,0.00552486187845304,0,0,0,0,0.0552486187845304,0,0,0.0110497237569061,0,0.00552486187845304,0.0276243093922652
2021-05-30,"None",0.0931194740421673,0.000340058943550215,0.903876671956472,5.66764905917026e-05,0.000396735434141918,0.000283382452958513,0,0,0,0,0,0.00045341192473362,0,0.000906823849467241,0.000170029471775108,0,0,0.000396735434141918
2021-05-30,"Travel",0.261363636363636,0.0397727272727273,0.619318181818182,0,0.0113636363636364,0.00568181818181818,0,0,0,0,0,0.0340909090909091,0,0,0,0,0,0.0284090909090909
2021-06-06,"None",0.0488194851569578,0.000159889143527155,0.949475030645419,0,0.000373074668230027,0,0,0,0,0,0,0.000159889143527155,0,0.000532963811757182,0.000213185524702873,5.32963811757182e-05,0,0.000213185524702873
2021-06-06,"Travel",0.140425531914894,0.0382978723404255,0.748936170212766,0,0.00425531914893617,0.00425531914893617,0,0,0.00425531914893617,0,0,0.0170212765957447,0,0,0.0212765957446809,0,0.00851063829787234,0.0127659574468085
2021-06-13,"None",0.0163512385193432,0,0.982744224881714,0,6.95797383801837e-05,0,0,0,0,0,0,0.000208739215140551,0,0.000208739215140551,0,6.95797383801837e-05,6.95797383801837e-05,0.000278318953520735
2021-06-13,"Travel",0.128654970760234,0.0116959064327485,0.807017543859649,0.00584795321637427,0,0,0,0,0.0116959064327485,0,0,0.0233918128654971,0,0,0.00584795321637427,0,0.00584795321637427,0
2021-06-20,"None",0.00964699541902452,0.000161681487469685,0.98825114524387,0,0,0,0,0,0,0,0,5.38938291565616e-05,0,5.38938291565616e-05,0.000107787658313123,0.00123955807060092,0,0.000485044462409054
2021-06-20,"Travel",0.107344632768362,0.0112994350282486,0.796610169491525,0,0.0112994350282486,0,0,0,0,0,0,0.0169491525423729,0,0,0.0169491525423729,0,0.0225988700564972,0.0169491525423729
2021-06-27,"None",0.00530748311255373,0,0.991007983156417,0,0,0,0,0,0,0,0,0,0,0,0,0.00250021931748399,8.77269935959295e-05,0.00109658741994912
2021-06-27,"Travel",0.117408906882591,0,0.842105263157895,0,0,0.00404858299595142,0,0,0,0,0,0.00809716599190283,0,0,0,0.00404858299595142,0.00809716599190283,0.0161943319838057
2021-07-04,"None",0.00265168539325843,0,0.991460674157303,0,4.49438202247191e-05,0,0,0,0,0,0,0,0,0,0,0.00480898876404494,0.000269662921348315,0.000764044943820225
2021-07-04,"Travel",0.0375,0,0.946875,0,0.00625,0,0,0,0,0,0,0.003125,0,0,0,0,0,0.00625
2021-07-11,"None",0.000990698442401893,5.50388023556607e-05,0.987836424679399,0,0,0,0,0,0,0,0,0,0,0,0,0.00880620837690572,0.000330232814133964,0.00198139688480379
2021-07-11,"Travel",0.0147710487444609,0.00147710487444609,0.954209748892171,0,0.00295420974889217,0,0,0,0,0,0,0.00590841949778434,0,0,0,0.00443131462333826,0.00590841949778434,0.0103397341211226
2021-07-18,"None",0.0002619466377278,3.74209482468286e-05,0.986752984320623,0,0,0,0,0,0,0,0,0,0,0,0,0.00991655128540957,0.000299367585974629,0.00273172922201849
2021-07-18,"Travel",0.013136288998358,0,0.9688013136289,0,0.00328407224958949,0,0,0,0,0,0,0,0,0,0,0.00328407224958949,0,0.0114942528735632
2021-07-25,"None",0.000247963159759121,7.08466170740347e-05,0.985724406659582,0,0,0,0,0,0,0,0,3.54233085370174e-05,0,0,0,0.0123627346794191,7.08466170740347e-05,0.00148777895855473
2021-07-25,"Travel",0.0097165991902834,0.00161943319838057,0.965991902834008,0,0.00161943319838057,0,0,0,0,0,0,0.000809716599190283,0,0,0,0.00647773279352227,0.00161943319838057,0.0121457489878543
2021-08-01,"None",0.000218348557079952,0,0.983696641071364,0,0,0,0,0,0,0,0,0,0,0,0,0.0127006077368172,3.6391426179992e-05,0.00334801120855926
2021-08-01,"Travel",0.00575539568345324,0.00143884892086331,0.966187050359712,0,0.000719424460431655,0.000719424460431655,0,0,0,0,0,0.00215827338129496,0,0,0,0.0115107913669065,0,0.0115107913669065
2021-08-08,"None",0.000232288037166086,3.87146728610143e-05,0.960046457607433,0,0,0,0,0,0,0,0,0,0,0,0,0.0207123499806427,3.87146728610143e-05,0.018931475029036
2021-08-08,"Travel",0.00562587904360056,0,0.977496483825598,0,0.00070323488045007,0,0,0,0,0,0,0.00070323488045007,0,0,0,0.00914205344585091,0.00281293952180028,0.00351617440225035
2021-08-15,"None",0.000101864113272894,0,0.973311602322502,0,0,0,0,0,0,0,0,0,0,0,0,0.0238022478014329,0,0.00278428576279243
2021-08-15,"Travel",0.00238379022646007,0.000595947556615018,0.959475566150179,0,0,0.000595947556615018,0,0,0,0,0,0,0,0,0,0.0232419547079857,0,0.0137067938021454
2021-08-22,"None",0.000203004466098254,0,0.965962917850859,0,0,0,0,0,0,0,0,3.38340776830424e-05,0,0,0,0.0325145486534037,0,0.00128569495195561
2021-08-22,"Travel",0.00137867647058824,0.000459558823529412,0.967371323529412,0,0,0,0,0,0,0,0,0,0,0,0,0.0202205882352941,0,0.0105698529411765
2021-08-29,"None",0.000173118205110449,0,0.963749047849872,0,3.46236410220899e-05,0,0,0,0,0,0,0,0,0,0,0.034658264663112,0,0.0013849456408836
2021-08-29,"Travel",0.00180099054479964,0,0.963980189104007,0,0,0.00045024763619991,0,0,0,0,0,0,0,0,0,0.0261143628995948,0,0.00765420981539847
2021-09-05,"None",0.000154219840382465,0,0.956394340131858,0,0,0,0,0,0,0,0,0,0,0,0,0.0417550217835525,0,0.00169641824420712
2021-09-05,"Travel",0.00104004160166407,0,0.96151846073843,0,0.000520020800832033,0.000520020800832033,0,0,0,0,0,0,0,0,0,0.0291211648465939,0,0.00728029121164847
2021-09-12,"None",0.000106496272630458,0,0.944550940717075,0,0,0,0,0,0,0,0,0,0,0,0,0.0534256301029464,0,0.00191693290734824
2021-09-12,"Travel",0.00322997416020672,0,0.954134366925065,0.000645994832041344,0,0.000645994832041344,0,0,0,0,0,0,0,0,0,0.0381136950904393,0,0.00322997416020672
2021-09-19,"None",0.000217809561839765,0,0.932370131048753,0,0,0,0,0,0,0,0,0,0,0,3.63015936399608e-05,0.0661052020183686,0,0.00127055577739863
2021-09-19,"Travel",0,0,0.969037656903766,0,0,0,0,0,0,0,0,0,0,0,0,0.0242677824267782,0,0.00669456066945607
2021-09-26,"None",0,0,0.917582989351001,0,0,0,0,0,0,0,0,0,0,0,0,0.0808213951229665,0,0.00159561552603281
2021-09-26,"Travel",0.00161943319838057,0,0.952226720647773,0,0,0,0,0,0,0,0,0,0,0,0,0.0404858299595142,0,0.00566801619433198
2021-10-03,"None",6.65845457269368e-05,0,0.909877817358591,0,0,0,0,0,0,0,0,0,0,0,0,0.0877251389952392,0,0.00233045910044279
2021-10-03,"Travel",0.0026431718061674,0,0.944493392070485,0,0.00176211453744493,0,0,0,0,0,0,0,0,0,0,0.0458149779735683,0,0.0052863436123348
2021-10-10,"None",8.49076629165782e-05,0,0.900530672893229,0,0,0,0,0,0,0,0,0,0,0,0,0.0971343663765655,0,0.00225005306728932
2021-10-10,"Travel",0,0,0.922204213938412,0,0,0,0,0,0,0,0,0,0,0,0,0.06645056726094,0,0.0113452188006483
2021-10-17,"None",0,0,0.883136657784545,0,0,0,0,0,0,0,0,0,0,0,0,0.116102017510468,0,0.000761324704986677
2021-10-17,"Travel",0,0,0.897435897435897,0,0,0,0,0,0,0,0,0,0,0,0,0.102564102564103,0,0
